"location","date","A.2.5","Alpha (WHO VOC)","B (Lineage)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.221 - 20A/S:98F","B.1.619 (WHO FMV)","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.103 (WHO VOC)","Delta - AY.20 (WHO VOC)","Delta - AY.23 (WHO VOC)","Delta - AY.34 (WHO VOC)","Delta - AY.36 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.43.8 (WHO VOC)","Delta - AY.9.2 (WHO VOC)","Gamma (WHO VOC)","Gamma - P.1.12 (WHO VOC)","Gamma - P.1.15 (WHO VOC)","N (Lineage)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.1 (WHO VOC)","Omicron - BA.1.1.12 (WHO VOC)","Omicron - BA.1.14 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.1.17 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.1 (WHO VOC)","Omicron - BA.2.10 (WHO VOC)","Omicron - BA.2.30 (WHO VOC)","Omicron - BA.2.40.1 (WHO VOC)","Other","Zeta (WHO VOI)","Unknown"
"Suriname","2021-10-17","","","","","","","","","","","","","","","","748,0","3309,0","107,0","","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-10-31","","","","","","","","","","","","","","","","","2572,0","","","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-11-14","","","","","","","","","","","","","","","","45,0","938,0","45,0","","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-11-28","","","","","","","","","","","","","","","","210,0","505,0","","","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-12-12","","","","","","","","","17,0","","","","","","","17,0","408,0","","","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-12-26","","","","","","","","","","","","","","","21,0","63,0","272,0","","","","","","","21,0","","","","","","","","","","","","","",""
"Suriname","2022-01-09","","","","","","","","","","","","","","171,0","","","1192,0","","","","","","511,0","3575,0","","171,0","","171,0","","341,0","","","","","","","",""
"Suriname","2022-01-23","","","","","","","","","","","","","","","","","387,0","","","","","","774,0","6572,0","387,0","","","387,0","387,0","3093,0","","","","","","387,0","",""
"Suriname","2022-02-06","","","","","","","","","","","","","","","","","405,0","","","","","","405,0","4245,0","","","","","","405,0","","","","","","","",""
"Suriname","2022-02-20","","","","","","","","","","","","","","","","","","","","","","","","1912,0","","","274,0","","","","","","","","","","",""
