"location","continent","population","start","end","range","cases_100k","variation","var_inc","var_inc_fmt"
"Bosnia and Herzegovina","Europe","3263459,0","1,33","1,07","caution [1 to 1.49]","60,83","-77","0,44","-"
"Botswana","Africa","2397240,0","1,17","0,0","low [0 to 0.09]","0,0","-85","0,0","-"
"Brazil","South America","213993441,0","1,85","1,62","to risky wave [1.5 to 1.99]","264,75","-127","0,68","-"
"British Virgin Islands","North America","30423,0","1,32","1,28","caution [1 to 1.49]","118,33","-16","0,88","-"
"Brunei","Asia","441532,0","12,0","12,0","critical wave [more than 6]","8657,13","-3544","0,71","-"
"Bulgaria","Europe","6896655,0","2,0","1,85","to risky wave [1.5 to 1.99]","392,57","-96","0,8","-"
"Burkina Faso","Africa","21497097,0","0,0","0,0","low [0 to 0.09]","0,0","0","0,0",""
"Burundi","Africa","12255429,0","0,0","0,0","low [0 to 0.09]","1,7","0","1,02","+"
"Cambodia","Asia","16946446,0","1,16","0,81","warning [0.1 to 0.99]","14,42","-20","0,41","-"
"Cameroon","Africa","27224262,0","0,0","0,0","low [0 to 0.09]","0,0","-1","0,0","-"
"Canada","North America","38067913,0","1,55","1,5","to risky wave [1.5 to 1.99]","203,08","-16","0,93","-"
"Cape Verde","Africa","561901,0","0,6","0,0","low [0 to 0.09]","3,2","-3","0,51","-"
"Cayman Islands","North America","66498,0","2,67","2,99","high wave [2 to 3.99]","1203,04","233","1,24","+"
"Central African Republic","Africa","4919987,0","0,0","0,77","warning [0.1 to 0.99]","17,85","15","6,61","x7"
"Chad","Africa","16914985,0","0,0","0,0","low [0 to 0.09]","0,17","0","0,71","-"
"Chile","South America","19212362,0","4,1","2,95","high wave [2 to 3.99]","1175,73","-579","0,67","-"
"China","Asia","1444216102,0","0,0","0,71","warning [0.1 to 0.99]","1,6","1","6,96","x7"
"Colombia","South America","51265841,0","1,0","0,77","warning [0.1 to 0.99]","17,03","-31","0,35","-"
"Comoros","Africa","888456,0","0,0","0,53","warning [0.1 to 0.99]","4,05","1","1,33","+"
"Congo","Africa","5657017,0","0,0","0,0","low [0 to 0.09]","0,85","-2","0,33","-"
"Cook Islands","Oceania","17572,0","0,0","0,0","low [0 to 0.09]","0,0","0","0,0",""
"Costa Rica","North America","5139053,0","2,21","1,7","to risky wave [1.5 to 1.99]","308,62","-297","0,51","-"
"Cote d'Ivoire","Africa","27053629,0","0,0","0,0","low [0 to 0.09]","0,42","0","0,6","-"
"Croatia","Europe","4081657,0","2,1","1,93","to risky wave [1.5 to 1.99]","442,42","-112","0,8","-"
"Cuba","North America","11317498,0","1,09","1,16","caution [1 to 1.49]","80,15","13","1,2","+"
"Curacao","North America","164796,0","1,6","1,8","to risky wave [1.5 to 1.99]","366,51","114","1,45","+"
"Cyprus","Europe","896005,0","8,4","12,0","critical wave [more than 6]","5161,47","2146","1,71","x2"
"Czechia","Europe","10724553,0","2,92","2,71","high wave [2 to 3.99]","998,24","-153","0,87","-"
"Democratic Republic of Congo","Africa","92377986,0","0,0","0,0","low [0 to 0.09]","0,41","0","1,17","+"
"Denmark","Europe","5813302,0","11,81","5,36","very high wave [4 to 5.99]","2719,69","-2200","0,55","-"
"Djibouti","Africa","1002197,0","0,0","0,0","low [0 to 0.09]","2,69","2","3,36","x3"
"Dominica","North America","72172,0","3,11","2,79","high wave [2 to 3.99]","462,78","-157","0,75","-"
"Dominican Republic","North America","10953714,0","0,94","0,69","warning [0.1 to 0.99]","11,59","-26","0,31","-"
"Ecuador","South America","17888474,0","1,47","1,22","caution [1 to 1.49]","99,13","-53","0,65","-"
"Egypt","Africa","104258327,0","1,08","0,55","warning [0.1 to 0.99]","4,42","-16","0,21","-"
"El Salvador","North America","6518500,0","1,32","0,0","low [0 to 0.09]","0,0","-132","0,0","-"
"Equatorial Guinea","Africa","1449891,0","0,0","0,0","low [0 to 0.09]","0,62","-1","0,47","-"
"Eritrea","Africa","3601462,0","0,0","0,0","low [0 to 0.09]","0,25","-1","0,32","-"
"Estonia","Europe","1325188,0","9,66","4,58","very high wave [4 to 5.99]","2272,73","-1950","0,54","-"
"Eswatini","Africa","1172369,0","0,88","0,9","warning [0.1 to 0.99]","28,83","2","1,06","+"
"Ethiopia","Africa","117876226,0","0,0","0,0","low [0 to 0.09]","0,46","0","0,87","-"
"Faeroe Islands","Europe","49053,0","12,0","0,0","low [0 to 0.09]","0,0","-5329","0,0","-"
"Falkland Islands","South America","3528,0","1,66","1,34","caution [1 to 1.49]","141,72","-142","0,5","-"
"Fiji","Oceania","902899,0","0,98","0,65","warning [0.1 to 0.99]","8,75","-35","0,2","-"
"Finland","Europe","5548361,0","4,12","9,8","critical wave [more than 6]","2891,77","1689","2,4","x2"
"France","Europe","67422000,0","2,91","3,61","high wave [2 to 3.99]","1644,49","502","1,44","+"
"French Polynesia","Oceania","282534,0","5,38","3,42","high wave [2 to 3.99]","1509,55","-1219","0,55","-"
"Gabon","Africa","2278829,0","0,51","0,0","low [0 to 0.09]","0,66","-3","0,2","-"
"Gambia","Africa","2486937,0","0,0","0,0","low [0 to 0.09]","1,29","0","1,33","+"
"Georgia","Asia","3979773,0","4,04","1,92","to risky wave [1.5 to 1.99]","440,63","-1481","0,23","-"
"Germany","Europe","83900471,0","7,51","12,0","critical wave [more than 6]","3840,32","1182","1,44","+"
"Ghana","Africa","31732128,0","0,64","0,51","warning [0.1 to 0.99]","2,32","-3","0,41","-"
"Gibraltar","Europe","33691,0","4,5","4,34","very high wave [4 to 5.99]","2122,23","-101","0,95","-"
"Greece","Europe","10370747,0","5,06","8,96","critical wave [more than 6]","3348,73","1328","1,66","x2"
"Greenland","North America","56868,0","1,9","1,67","to risky wave [1.5 to 1.99]","288,39","-135","0,68","-"
"Grenada","North America","113015,0","1,39","0,0","low [0 to 0.09]","0,0","-160","0,0","-"
"Guatemala","North America","18249868,0","1,63","1,34","caution [1 to 1.49]","121,6","-70","0,64","-"
"Guinea","Africa","13497237,0","0,0","0,0","low [0 to 0.09]","0,28","0","0,88","-"
"Guinea-Bissau","Africa","2015490,0","0,6","0,51","warning [0.1 to 0.99]","3,67","-3","0,59","-"
"Guyana","South America","790329,0","1,01","0,8","warning [0.1 to 0.99]","20,12","-30","0,4","-"
"Haiti","North America","11541683,0","0,0","0,0","low [0 to 0.09]","1,09","0","0,79","-"
"Honduras","North America","10062994,0","1,18","1,08","caution [1 to 1.49]","63,02","-26","0,71","-"
"Hong Kong","Asia","7552800,0","12,0","5,73","very high wave [4 to 5.99]","2915,26","-2630","0,53","-"
"Hungary","Europe","9634162,0","2,1","1,39","caution [1 to 1.49]","160,54","-396","0,29","-"
"Iceland","Europe","368792,0","12,0","12,0","critical wave [more than 6]","9246,95","-1286","0,88","-"
"India","Asia","1393409033,0","0,66","0,51","warning [0.1 to 0.99]","3,35","-6","0,36","-"
"Indonesia","Asia","276361788,0","1,56","1,15","caution [1 to 1.49]","75,88","-124","0,38","-"
"Iran","Asia","85028760,0","1,5","1,08","caution [1 to 1.49]","64,22","-109","0,37","-"
"Iraq","Asia","41179351,0","0,96","0,81","warning [0.1 to 0.99]","21,72","-20","0,53","-"
"Ireland","Europe","4982904,0","2,73","3,71","high wave [2 to 3.99]","1689,92","687","1,68","x2"
"Isle of Man","Europe","85410,0","3,0","9,13","critical wave [more than 6]","4373,02","3166","3,62","x4"
"Israel","Asia","9291000,0","3,12","2,71","high wave [2 to 3.99]","993,17","-301","0,77","-"
"Italy","Europe","60367471,0","2,61","3,87","high wave [2 to 3.99]","1455,96","535","1,58","x2"
"Jamaica","North America","2973462,0","0,79","0,72","warning [0.1 to 0.99]","13,22","-6","0,69","-"
"Japan","Asia","126050796,0","2,61","2,3","high wave [2 to 3.99]","628,5","-89","0,88","-"
"Jordan","Asia","10269022,0","2,67","2,33","high wave [2 to 3.99]","721,25","66","1,1","+"
"Kazakhstan","Asia","18994958,0","0,86","0,6","warning [0.1 to 0.99]","6,57","-20","0,25","-"
"Kenya","Africa","54985702,0","0,0","0,0","low [0 to 0.09]","0,33","0","0,48","-"
"Kiribati","Oceania","121388,0","1,3","1,09","caution [1 to 1.49]","66,73","-59","0,53","-"
"Kosovo","Europe","1782115,0","1,16","0,86","warning [0.1 to 0.99]","26,26","-57","0,32","-"
"Kuwait","Asia","4328553,0","1,56","1,23","caution [1 to 1.49]","102,39","-132","0,44","-"
"Kyrgyzstan","Asia","6628347,0","0,56","0,0","low [0 to 0.09]","3,23","-2","0,67","-"
"Laos","Asia","7379358,0","0,98","1,24","caution [1 to 1.49]","93,76","52","2,25","x2"
"Latvia","Europe","1866934,0","12,0","9,32","critical wave [more than 6]","4346,43","-1845","0,7","-"
"Lebanon","Asia","6769151,0","1,98","1,39","caution [1 to 1.49]","159,46","-314","0,34","-"
"Lesotho","Africa","2159067,0","0,71","0,61","warning [0.1 to 0.99]","7,04","-6","0,56","-"
"Liberia","Africa","5180208,0","0,0","0,0","low [0 to 0.09]","0,5","0","1,09","+"
"Libya","Africa","6958538,0","1,52","0,99","warning [0.1 to 0.99]","46,73","-147","0,24","-"
"Liechtenstein","Europe","38254,0","12,0","12,0","critical wave [more than 6]","5879,12","1451","1,33","+"
"Lithuania","Europe","2689862,0","5,31","4,97","very high wave [4 to 5.99]","2378,04","-216","0,92","-"
"Luxembourg","Europe","634814,0","4,26","6,24","critical wave [more than 6]","2107,39","692","1,49","+"
